cat_num,enteredby,accn,guid_prefix,identifier_1_value,identifier_1_type,identifier_1_relationship,identifier_2_value,identifier_2_type,agent_1_name,agent_1_role,agent_2_name,agent_2_role,agent_3_name,agent_3_role,agent_4_name,agent_4_role,identification_1,identification_1_order,identification_1_attribute_type_1,identification_1_attribute_value_1,identification_1_agent_1,identification_1_date,identification_1_remark,locality_higher_geog,locality_specific,event_verbatim_locality,event_verbatim_date,event_began_date,event_ended_date,record_event_type,record_event_determiner,record_event_determined_date,record_event_verificationstatus,part_1_name,part_1_condition,part_1_count,part_1_disposition,part_1_remark,part_1_attribute_type_1,part_1_attribute_value_1
278,jessicatir,75,CRCM:Fish,75-914,institutional catalog number,self,,,Unknown,collector,,,,,,,Lota lota,1,nature of identification,unknown,Unknown,1962-03-25,,"United States, Washington, Grant County","Crab Creek Lateral, 10 mi W of Othello","Crab Creek Lateral, 10 mi W Othello, Grant Co., Wahsington",25-Mar-19[?],1948-03-25,1962-03-25,collection,Unknown,1962-03-25,,whole organism,unchecked,1,in collection,,preservation,ethanol
279,jessicatir,75,CRCM:Fish,75-915,institutional catalog number,self,,,Unknown,collector,,,,,,,Lota lota,1,nature of identification,unknown,Unknown,1962-03-25,,"United States, Washington, Grant County","Crab Creek Lateral, 10 mi W of Othello","Crab Creek Lateral, 10 mi W Othello, Grant Co., Wahsington",25-Mar-19[?],1948-03-25,1962-03-25,collection,Unknown,1962-03-25,,whole organism,unchecked,1,in collection,,preservation,ethanol
280,jessicatir,75,CRCM:Fish,75-916,institutional catalog number,self,,,Unknown,collector,,,,,,,Lota lota,1,nature of identification,unknown,Unknown,1962-03-25,,"United States, Washington, Grant County","Crab Creek Lateral, 10 mi W of Othello","Crab Creek Lateral, 10 mi W Othello, Grant Co., Wahsington",25-Mar-19[?],1948-03-25,1962-03-25,collection,Unknown,1962-03-25,,whole organism,unchecked,1,in collection,,preservation,ethanol
281,jessicatir,75,CRCM:Fish,75-917,institutional catalog number,self,,,Unknown,collector,,,,,,,Lota lota,1,nature of identification,unknown,Unknown,1962-03-25,,"United States, Washington, Grant County","Crab Creek Lateral, 10 mi W of Othello","Crab Creek Lateral, 10 mi W Othello, Grant Co., Wahsington",25-Mar-19[?],1948-03-25,1962-03-25,collection,Unknown,1962-03-25,,whole organism,unchecked,1,in collection,,preservation,ethanol
282,jessicatir,75,CRCM:Fish,75-918,institutional catalog number,self,,,Unknown,collector,,,,,,,Lota lota,1,nature of identification,unknown,Unknown,1962-03-25,,"United States, Washington, Grant County","Crab Creek Lateral, 10 mi W of Othello","Crab Creek Lateral, 10 mi W Othello, Grant Co., Wahsington",25-Mar-19[?],1948-03-25,1962-03-25,collection,Unknown,1962-03-25,,whole organism,unchecked,1,in collection,,preservation,ethanol
283,jessicatir,75,CRCM:Fish,75-919,institutional catalog number,self,,,Unknown,collector,,,,,,,Lota lota,1,nature of identification,unknown,Unknown,1962-03-25,,"United States, Washington, Grant County","Crab Creek Lateral, 10 mi W of Othello","Crab Creek Lateral, 10 mi W Othello, Grant Co., Wahsington",25-Mar-19[?],1948-03-25,1962-03-25,collection,Unknown,1962-03-25,,whole organism,unchecked,1,in collection,,preservation,ethanol
1829,jessicatir,96,CRCM:Fish,96-195,institutional catalog number,self,,,L. M. Ashley,collector,,,,,,,Gadus chalcogrammus,1,nature of identification,unknown,L. M. Ashley,1948-06-18,,"United States, Washington, Whatcom County","Strait of Georgia, 15 mi W of Blaine","Strait of Georgia, 15 mi W of Blaine, Whatcom Co., Washington",18-Jun-1948,1948-06-18,1948-06-18,collection,L. M. Ashley,1948-06-18,,whole organism,unchecked,1,in collection,,preservation,ethanol
1792,jessicatir,97,CRCM:Fish,97-199,institutional catalog number,self,,,L. M. Ashley,collector,,,,,,,Gadus macrocephalus,1,nature of identification,unknown,L. M. Ashley,1952-07-08,,"United States, Washington, Skagit County","off Reef Point, Cypress Island","off Reef Point, Cypress Island, Skagit Co., Washington",8-Jul-1952,1952-07-08,1952-07-08,collection,L. M. Ashley,1952-07-08,,whole organism,unchecked,1,in collection,,preservation,ethanol
1793,jessicatir,97,CRCM:Fish,97-200,institutional catalog number,self,,,L. M. Ashley,collector,,,,,,,Gadus macrocephalus,1,nature of identification,unknown,L. M. Ashley,1952-07-08,,"United States, Washington, Skagit County","off Reef Point, Cypress Island","off Reef Point, Cypress Island, Skagit Co., Washington",8-Jul-1952,1952-07-08,1952-07-08,collection,L. M. Ashley,1952-07-08,,whole organism,unchecked,1,in collection,,preservation,ethanol
211,jessicatir,97,CRCM:Fish,97-767,institutional catalog number,self,,,R. Baybarz,collector,,,,,,,Gadus chalcogrammus,1,nature of identification,unknown,R. Baybarz,1951-07-04,,"United States, Washington, Skagit County","Anacortes, Fidalgo Island","Anacortes, Skagit Co., Washington",4-Jul-1951,1951-07-04,1951-07-04,collection,R. Baybarz,1951-07-04,,whole organism,unchecked,4,in collection,,preservation,ethanol
